Sex,Age,Height,Weight,Team,Sport,Event,Medal
1,28.0,184.0,76.0,143,8,116,0
1,29.0,173.0,75.0,429,22,279,0
1,22.0,176.0,72.0,370,29,323,0
1,33.0,180.0,95.0,336,36,368,1
1,20.0,170.0,67.0,430,36,369,0
1,28.0,180.0,82.0,327,11,146,1
1,24.0,188.0,90.0,254,33,334,0
1,26.0,190.0,89.0,446,33,337,1
1,29.0,166.0,68.0,254,19,261,0
1,25.0,187.0,80.0,156,8,116,1
0,17.0,165.0,51.0,437,18,257,0
1,24.0,172.0,52.0,105,33,334,1
1,26.0,169.0,70.0,371,54,529,0
1,28.0,185.0,79.0,429,17,247,0
1,21.0,182.0,82.0,99,17,245,1
0,21.0,170.0,64.0,363,8,120,0
0,18.0,166.0,55.0,423,0,6,0
1,32.0,182.0,72.0,24,14,210,0
1,20.0,178.0,73.0,27,40,418,0
0,24.0,169.0,52.0,122,12,188,0
1,27.0,185.0,88.0,141,25,300,1
1,23.0,173.0,71.0,143,10,135,1
1,29.0,185.0,92.0,157,9,125,1
1,26.0,193.0,103.0,162,33,336,1
0,32.0,166.0,56.0,287,8,124,0
0,25.0,169.0,55.0,336,45,491,1
1,24.0,187.0,93.0,200,33,337,1
1,19.0,175.0,69.0,230,0,3,0
1,28.0,186.0,84.0,336,39,414,1
0,32.0,172.0,66.0,56,52,518,1
1,20.0,167.0,62.0,143,22,276,0
0,19.0,170.0,53.0,72,3,84,0
0,25.0,165.0,54.0,205,25,301,0
1,32.0,188.0,100.0,157,9,125,1
0,24.0,183.0,89.0,376,33,344,0
1,28.0,183.0,80.0,446,25,300,1
1,21.0,176.0,73.0,14,44,466,0
0,20.0,164.0,50.0,380,32,331,0
0,24.0,162.0,58.0,429,48,510,1
0,22.0,176.0,65.0,365,12,190,0
0,20.0,177.0,68.0,73,0,8,0
1,22.0,170.0,64.0,162,3,41,1
1,25.0,180.0,68.0,156,3,42,1
1,24.0,183.0,76.0,156,3,42,1
1,22.0,175.0,80.0,371,26,308,1
0,22.0,171.0,62.0,14,3,96,1
0,24.0,175.0,64.0,376,6,109,1
1,23.0,198.0,93.0,14,33,338,0
0,16.0,171.0,52.0,41,32,331,1
1,19.0,191.0,92.0,392,25,300,1
1,25.0,183.0,83.5,141,25,300,0
1,26.0,178.0,77.0,73,25,300,1
0,29.0,165.0,59.0,429,43,440,1
1,33.0,188.0,72.0,205,33,340,0
0,23.0,180.0,75.0,73,33,349,1
1,22.0,170.0,64.0,14,24,298,0
1,23.0,192.0,92.0,83,33,337,0
0,24.0,167.0,58.0,278,33,350,0
1,28.0,186.0,80.0,254,47,501,1
1,23.0,198.0,150.0,143,3,68,0
1,24.0,170.0,66.0,192,4,102,1
1,30.0,179.0,70.0,287,25,300,0
1,23.0,165.0,55.0,336,22,284,0
0,31.0,156.0,52.0,446,1,13,0
1,20.0,180.0,77.0,315,44,461,0
1,24.0,175.0,62.0,200,17,244,0
1,24.0,175.0,71.0,376,53,519,1
1,26.0,169.0,68.0,14,19,261,1
1,27.0,167.0,73.0,99,14,199,0
1,19.0,173.0,70.0,429,44,467,1
1,21.0,177.0,70.0,336,15,226,1
1,22.0,168.0,65.0,376,22,285,0
1,33.0,168.0,70.0,106,11,147,1
0,25.0,192.0,94.0,376,6,109,1
1,28.0,201.0,94.0,56,52,517,1
1,22.0,193.0,95.0,429,44,462,1
0,23.0,173.0,102.0,429,42,432,1
1,40.0,167.0,68.0,242,37,387,0
1,26.0,177.0,68.0,185,3,40,0
1,26.0,187.0,87.0,392,25,300,1
1,30.0,170.0,87.0,162,54,530,0
1,26.0,186.0,78.0,134,14,206,0
1,30.0,180.0,70.0,380,53,519,1
0,26.0,171.0,64.0,156,3,89,1
0,24.0,170.0,59.0,305,52,518,1
0,30.0,175.0,63.0,420,3,101,0
